Parameter Name,Byte #,Bits,Param Address Bytes,Min Val,Max Val,Display Offset,Options,Path,Notes
S4,78,,33 06,0,100,-50,,,
S1 Key Scaling Time Mod,79,,34 00,0,100,-50,,,
S2,80,,34 02,0,100,-50,,,
S3,81,,34 04,0,100,-50,,,
S4,82,,34 06,0,100,-50,,,
S1 Key Scaling Pitch Mod,83,,22 00,0,100,-50,,,
S2,84,,22 02,0,100,-50,,,
S3,85,,22 04,0,100,-50,,,
S4,86,,22 06,0,100,-50,,,
Checksum,87,,,,,,,,"Check sum value (s87) is the sum of the A5H and s0 - s86, and bit 7 must be clear"
